年,月,日,平均気温(℃),最高気温(℃),最低気温(℃),天気概況(昼),天気概況(夜)
1996,6,1,19.6,24.6,16.5,晴後一時曇,曇後一時晴
1996,6,2,20.0,23.9,15.7,晴,晴
1996,6,3,23.3,27.3,20.3,晴一時曇,曇後一時雨
1996,6,4,24.2,28.9,21.9,晴一時雨,曇一時雨
1996,6,5,20.9,25.1,18.0,晴,晴後曇
1996,6,6,20.1,25.1,16.9,晴,晴
1996,6,7,19.9,24.4,15.9,晴,曇時々雨
1996,6,8,20.4,23.9,17.6,曇,曇時々雨
1996,6,9,20.5,22.0,18.5,曇一時雨,曇一時雨
1996,6,10,20.5,23.5,17.6,曇時々雨,雨時々曇
1996,6,11,20.5,22.8,18.2,曇時々雨,曇
1996,6,12,23.2,27.1,20.2,曇,曇後一時雨
1996,6,13,21.4,24.6,18.5,曇一時雨,晴後曇一時雨
1996,6,14,21.4,22.6,20.2,雨一時曇,曇時々雨
1996,6,15,23.9,27.6,20.6,曇一時雨後晴,晴
1996,6,16,25.3,30.2,21.7,晴,曇
1996,6,17,24.2,28.2,20.9,曇,曇後一時雨
1996,6,18,24.1,28.0,22.0,曇時々雨,曇一時雨
1996,6,19,25.0,30.5,21.3,曇後晴,晴
1996,6,20,24.1,27.8,20.7,薄曇,曇時々雨
1996,6,21,24.1,28.0,21.3,曇,曇
1996,6,22,23.0,26.7,20.5,曇一時雨,曇
1996,6,23,22.4,25.7,19.4,曇,曇
1996,6,24,23.0,25.3,21.2,曇一時雨,雨後一時曇
1996,6,25,24.7,28.9,21.8,曇時々雨,雨一時曇
1996,6,26,22.0,24.8,18.2,雨一時曇,曇一時雨
1996,6,27,19.8,23.8,17.1,曇,曇
1996,6,28,23.0,27.3,19.1,曇一時晴,曇後晴
1996,6,29,25.9,31.8,20.8,晴後一時曇,曇
1996,6,30,26.1,30.1,22.4,晴時々曇一時雨,曇
1996,7,1,26.9,30.7,24.5,曇一時雨,晴
1996,7,2,27.1,31.2,23.7,曇時々晴,晴
1996,7,3,25.3,31.0,20.4,晴後一時曇,曇一時雨後晴、雷を伴う
1996,7,4,24.3,29.7,20.1,晴,曇
1996,7,5,24.3,25.8,21.8,曇時々雨,曇時々晴一時雨
1996,7,6,26.3,31.9,22.3,晴,晴後曇
1996,7,7,20.5,23.7,17.7,曇時々雨,雨一時曇
1996,7,8,18.4,20.4,17.2,雨時々曇,大雨
1996,7,9,18.9,20.1,17.6,大雨,雨
1996,7,10,20.6,22.4,18.5,大雨,雨後曇一時晴
1996,7,11,27.8,33.2,20.6,晴,晴
1996,7,12,26.6,31.1,22.3,晴,晴
1996,7,13,25.8,30.1,21.9,晴,晴一時曇
1996,7,14,27.7,31.8,23.9,晴,晴後曇
1996,7,15,27.8,32.3,24.8,晴後一時雨、雷を伴う,曇一時雨、雷を伴う
1996,7,16,28.4,32.8,24.5,晴一時曇,晴
1996,7,17,30.2,34.5,26.8,晴,薄曇
1996,7,18,30.7,34.8,27.9,晴,晴
1996,7,19,29.3,33.4,25.4,晴,曇
1996,7,20,26.6,30.3,23.6,曇,雨時々曇
1996,7,21,23.8,26.5,22.6,雨後曇,曇後一時霧雨
1996,7,22,24.3,28.4,21.9,曇一時霧雨,曇一時雨
1996,7,23,22.7,23.7,21.5,雨一時曇,曇一時雨
1996,7,24,25.5,29.1,22.3,曇一時雨,曇
1996,7,25,27.5,31.7,24.5,晴,晴
1996,7,26,28.1,32.1,24.6,晴,晴
1996,7,27,29.4,33.5,26.4,晴,晴
1996,7,28,29.0,33.3,26.2,晴,晴
1996,7,29,29.3,33.4,26.5,晴後曇,曇
1996,7,30,29.1,32.6,26.9,曇,曇後晴
1996,7,31,29.4,33.0,27.2,晴,晴
1996,8,1,29.5,33.3,26.6,晴一時曇,晴一時雨
1996,8,2,27.9,32.4,23.0,晴後一時曇,曇一時霧雨
1996,8,3,23.7,27.1,21.0,曇,曇一時霧雨
1996,8,4,27.8,31.9,24.2,晴一時曇,晴
1996,8,5,28.2,33.7,23.4,晴後曇一時雨,曇一時雨
1996,8,6,24.4,28.3,21.8,晴一時曇,晴
1996,8,7,24.8,29.2,21.8,晴後曇,晴
1996,8,8,24.0,26.6,21.2,曇一時晴,晴
1996,8,9,26.2,30.7,22.0,晴時々曇,晴後曇
1996,8,10,26.4,31.2,23.8,晴一時曇,曇一時雨
1996,8,11,26.6,30.6,23.8,曇時々晴,晴時々雨
1996,8,12,26.0,30.8,22.7,曇一時雨後晴,晴後曇
1996,8,13,26.9,31.6,24.4,曇後一時雨,曇一時雨
1996,8,14,29.1,33.7,25.3,晴,曇一時雨
1996,8,15,32.5,38.7,27.0,晴時々曇一時雨,晴
1996,8,16,31.8,36.6,28.2,晴一時曇,曇
1996,8,17,27.8,31.1,26.1,曇時々晴,曇
1996,8,18,27.8,31.5,25.2,晴一時雨,快晴
1996,8,19,27.6,32.6,24.7,晴一時曇,曇一時晴
1996,8,20,25.5,29.4,23.1,曇,曇一時晴
1996,8,21,26.2,30.3,23.0,晴後曇,晴
1996,8,22,27.1,31.6,24.2,晴一時曇,晴一時曇
1996,8,23,28.3,31.5,25.4,曇,曇
1996,8,24,24.9,28.2,22.1,曇一時雨,曇一時雨
1996,8,25,23.0,26.4,20.8,曇一時晴,曇一時晴
1996,8,26,23.0,26.3,20.4,曇一時晴,曇
1996,8,27,22.5,25.7,20.7,曇一時雨,曇時々雨
1996,8,28,20.0,21.8,18.1,曇時々雨,雨一時曇
1996,8,29,21.3,24.5,17.9,曇一時雨,曇一時雨
1996,8,30,23.5,26.3,21.6,曇,霧雨時々曇
1996,8,31,23.1,26.1,20.7,曇一時雨,曇時々雨
1996,9,1,25.5,29.9,22.0,曇一時雨後時々晴,曇一時晴
1996,9,2,26.6,34.5,23.9,曇後時々雨、雷を伴う,晴
1996,9,3,25.5,29.9,22.7,晴一時曇,晴
1996,9,4,25.1,28.1,21.9,晴時々曇,曇一時雨
1996,9,5,25.9,29.8,23.3,晴一時曇,晴
1996,9,6,26.4,30.7,23.4,曇一時晴,曇一時雨
1996,9,7,23.5,26.0,21.3,曇一時雨,曇
1996,9,8,23.6,28.0,20.8,晴一時曇,晴時々曇
1996,9,9,20.2,23.0,17.6,雨一時曇,雨時々曇
1996,9,10,21.3,25.4,18.0,曇一時雨後晴,晴一時雨
1996,9,11,23.6,28.1,20.1,晴,晴
1996,9,12,23.1,27.9,18.9,晴,晴
1996,9,13,22.0,25.4,19.3,曇,雨一時曇
1996,9,14,18.1,20.0,15.7,雨,曇時々雨
1996,9,15,22.0,25.8,19.4,晴時々曇一時雨,晴一時曇
1996,9,16,22.7,27.1,19.4,晴,晴一時曇
1996,9,17,22.8,27.3,19.7,曇時々晴,曇一時雨
1996,9,18,23.2,27.2,20.2,晴時々曇,晴
1996,9,19,23.9,28.6,20.2,晴,晴
1996,9,20,23.8,28.5,20.1,曇時々晴,曇時々雨
1996,9,21,22.3,24.9,19.9,曇一時雨,雨時々曇
1996,9,22,19.3,23.2,17.7,暴風雨,晴
1996,9,23,23.4,27.9,18.0,曇一時晴,曇一時雨
1996,9,24,22.5,26.2,20.1,曇時々晴,晴
1996,9,25,19.9,23.5,17.5,曇後時々雨,曇時々雨
1996,9,26,20.2,22.3,18.6,雨時々曇,曇後晴、霧を伴う
1996,9,27,20.1,23.8,18.0,曇一時雨、雷を伴う,晴
1996,9,28,19.2,23.6,14.8,晴,晴後一時曇
1996,9,29,19.5,23.2,15.7,晴時々曇,曇後一時雨
1996,9,30,16.7,19.9,14.9,雨,雨一時曇
1996,10,1,17.3,18.8,15.5,雨時々曇,曇後晴
1996,10,2,19.9,24.5,16.5,晴,晴
1996,10,3,20.2,24.4,17.3,曇時々晴,曇時々雨
1996,10,4,20.9,24.1,18.2,曇一時雨後時々晴,晴後曇
1996,10,5,20.2,22.9,17.8,曇後晴,晴後曇
1996,10,6,20.4,22.8,17.9,曇一時晴,曇後晴
1996,10,7,23.0,27.2,17.6,晴時々曇,曇後雨
1996,10,8,16.2,21.9,14.4,雨,雨一時曇
1996,10,9,17.7,20.6,14.3,曇一時雨,曇一時晴
1996,10,10,18.6,20.9,15.7,曇時々晴,曇一時晴
1996,10,11,18.9,20.8,16.9,曇一時雨,曇
1996,10,12,19.0,22.1,16.8,曇,雨一時曇
